"","adj.P.Val"
"BC074921",5.74761097455661e-08
"BC069643",5.89959099521557e-08
"NM_004108",1.73146751121202e-06
"BC044647",1.73146751121202e-06
"XM_379029",2.58133570627025e-06
"NM_007028",7.18862498466582e-06
"NM_001013701",7.54639732565842e-06
"NM_000640",9.7476913376197e-06
"NM_139028",1.51309882438953e-05
"NM_004219",1.95858312805194e-05
"NM_033303",1.95858312805194e-05
"NM_006438",1.95858312805194e-05
"BC095512",1.95858312805194e-05
"NM_033302",1.95858312805194e-05
"NM_181800",1.95858312805194e-05
"AK074614",1.95858312805194e-05
"NM_016204",1.95858312805194e-05
"XM_934627",1.95858312805194e-05
"NM_181803",2.02386783045279e-05
"BC046645",2.02386783045279e-05
"NM_000680",2.02386783045279e-05
"NM_022124",2.02386783045279e-05
"XM_925855",2.14869563383733e-05
"NM_033304",2.19400745919838e-05
"NM_152635",2.35192510886882e-05
"NM_001012729",2.37999240075056e-05
"NM_002621",2.37999240075056e-05
"NM_007019",2.45597324372938e-05
"NM_006042",2.46570475379484e-05
"AY042235",2.57780952737875e-05
"XM_931052",2.69913950162368e-05
"BC016292",2.69913950162368e-05
"BC053318",2.75308530912514e-05
"AF290887",2.75308530912514e-05
"BC067424",3.12825608220708e-05
"NM_002263",3.25886837748826e-05
"NM_134263",3.26071466745295e-05
"AF288410",3.26071466745295e-05
"AY042225",3.29266909463842e-05
"NM_006607",3.29266909463842e-05
"NM_006459",3.29266909463842e-05
"BC101834",3.29266909463842e-05
"AY563165",3.46896066179005e-05
"NM_181802",3.46896066179005e-05
"NM_014867",3.46896066179005e-05
"NM_214677",3.46896066179005e-05
"NM_022911",3.49832157119819e-05
"AF087872",3.7666417353349e-05
"AY343913",4.12220454723464e-05
"NM_007264",4.31690969769055e-05
"AF529371",4.34921609832347e-05
"NM_000612",4.49082594602201e-05
"BC009738",4.49082594602201e-05
"NM_004970",4.49082594602201e-05
"BC012379",4.68739611723715e-05
"NM_000909",4.68739611723715e-05
"NM_005491",4.73080233583078e-05
"NM_005622",5.12523704179559e-05
"NM_003613",5.35635103733097e-05
"NM_016250",5.47971333026877e-05
"NM_134426",5.52529341383646e-05
"NM_214675",6.05336941586001e-05
"NM_002310",6.08458291217072e-05
"NM_001790",6.70623387552904e-05
"NM_181801",6.70623387552904e-05
"NM_175733",7.12730427850629e-05
"BC007656",7.12730427850629e-05
"NM_003970",7.12730427850629e-05
"AF258450",7.12730427850629e-05
"NM_016343",8.31676159252241e-05
"BC025739",8.47854847502343e-05
"BX248778",9.18849703486847e-05
"AK127017",9.27081860356253e-05
"BC015099",9.35475961025536e-05
"NM_145030",0.000100402034729475
"NM_018436",0.000100402034729475
"NM_139026",0.000101189700286794
"BC114465",0.000101189700286794
"NM_014257",0.00010313759424768
"AK000374",0.000103174102215325
"BC042150",0.000103174102215325
"NM_005277",0.000103174102215325
"AB053445",0.000103913604106926
"NM_144668",0.000106284471813922
"BC110614",0.000110562190857284
"BC036233",0.000114675337026616
"BC029125",0.000114675337026616
"BC011240",0.000114848334996694
"NM_152271",0.000117723893782197
"NM_001255",0.000121005373291126
"NM_006342",0.000123884170085779
"NM_184087",0.000123884170085779
"AK027673",0.000124040140609057
"BC019284",0.000126511990778918
"NM_007129",0.000127698392617295
"NM_017779",0.000128759045708893
"NM_052836",0.00013686257510481
"BC042127",0.000140126346928101
"BC093662",0.000145710185751664
"BC036444",0.000148377900712542
"AK126297",0.000156044100371662
"NM_004675",0.000162387686734611
"NM_001005738",0.000162387686734611
"NM_139125",0.000162387686734611
"NM_006646",0.000163850809628548
"BC069773",0.00017245571172173
"NM_184086",0.00018180844696218
"BC068467",0.00018180844696218
"AK223139",0.00018512480344764
"AF258449",0.000189025360424507
"NM_202000",0.000195368932066321
"BC060868",0.000197183525608012
"CR604997",0.000197183525608012
"BC071720",0.000198831213351078
"NM_006691",0.000202459308354294
"NM_139025",0.000205450144711009
"NM_004744",0.000205450144711009
"AF262322",0.000205940715966344
"NM_025098",0.000210131185811579
"BC011786",0.000212481459784436
"BC007495",0.000212481459784436
"NM_005244",0.000212481459784436
"BC093691",0.000213082388249994
"NM_004091",0.000222271162804725
"NM_017564",0.000229844785253682
"NM_014176",0.000229903530570536
"NM_133459",0.00023158831764244
"AK128620",0.000235604355786289
"NM_032649",0.000238878745990846
"NM_004414",0.00024250391708602
"BC007750",0.00024250391708602
"AY042222",0.000253507830528895
"NM_153742",0.000255513632278547
"BC064965",0.000264208518043423
"NM_000078",0.000264208518043423
"NM_178229",0.000267135377463684
"NM_014435",0.000274996761940092
"NM_020127",0.000296797187125951
"AL136605",0.000296797187125951
"BC038857",0.000300843533462026
"NM_001902",0.000300931631688907
"AK131263",0.000307205467480267
"BC052969",0.000323619809623246
"NM_003713",0.00032504413594639
"D10653",0.00032504413594639
"NM_006845",0.00032590267854759
"NM_031917",0.00032590267854759
"BC046477",0.000336451735530358
"NM_023071",0.000336451735530358
"NM_001486",0.000348209785435995
"NM_031460",0.000348209785435995
"NM_016262",0.00035012412441843
"NM_173685",0.00035012412441843
"BC109058",0.000351257854817439
"NM_001007139",0.000363990985660366
"XM_928320",0.000363990985660366
"NM_001221",0.000363990985660366
"AY705349",0.0003661127586165
"NM_000761",0.0003661127586165
"BC011243",0.0003661127586165
"NM_022776",0.0003661127586165
"NM_018023",0.0003661127586165
"AF051852",0.000372614397198784
"NM_022359",0.000374412091410876
