"","adj.P.Val"
"BC074921",5.74761097455661e-08
"BC069643",5.89959099521557e-08
"NM_004108",1.73146751121202e-06
"XM_379029",2.58133570627025e-06
"NM_000640",9.7476913376197e-06
"NM_004219",1.95858312805194e-05
"NM_033303",1.95858312805194e-05
"NM_006438",1.95858312805194e-05
"BC095512",1.95858312805194e-05
"NM_033302",1.95858312805194e-05
"NM_181800",1.95858312805194e-05
"AK074614",1.95858312805194e-05
"XM_934627",1.95858312805194e-05
"BC046645",2.02386783045279e-05
"NM_000680",2.02386783045279e-05
"XM_925855",2.14869563383733e-05
"NM_033304",2.19400745919838e-05
"NM_001012729",2.37999240075056e-05
"NM_002621",2.37999240075056e-05
"NM_007019",2.45597324372938e-05
"AY042235",2.57780952737875e-05
"BC016292",2.69913950162368e-05
"BC053318",2.75308530912514e-05
"AF290887",2.75308530912514e-05
"BC067424",3.12825608220708e-05
"NM_002263",3.25886837748826e-05
"AY042225",3.29266909463842e-05
"BC101834",3.29266909463842e-05
"AY563165",3.46896066179005e-05
"NM_181802",3.46896066179005e-05
"NM_014867",3.46896066179005e-05
"NM_214677",3.46896066179005e-05
"AY343913",4.12220454723464e-05
"NM_000612",4.49082594602201e-05
"NM_004970",4.49082594602201e-05
"NM_000909",4.68739611723715e-05
"NM_214675",6.05336941586001e-05
"NM_002310",6.08458291217072e-05
"NM_001790",6.70623387552904e-05
"NM_181801",6.70623387552904e-05
"NM_175733",7.12730427850629e-05
"BC007656",7.12730427850629e-05
"NM_016343",8.31676159252241e-05
"BC025739",8.47854847502343e-05
"NM_014257",0.00010313759424768
"NM_005277",0.000103174102215325
"BC110614",0.000110562190857284
"NM_001255",0.000121005373291126
"NM_007129",0.000127698392617295
"NM_017779",0.000128759045708893
"BC042127",0.000140126346928101
"BC068467",0.00018180844696218
"BC060868",0.000197183525608012
"CR604997",0.000197183525608012
"BC071720",0.000198831213351078
"NM_006691",0.000202459308354294
"NM_025098",0.000210131185811579
"BC011786",0.000212481459784436
"BC093691",0.000213082388249994
"NM_017564",0.000229844785253682
"NM_133459",0.00023158831764244
"AK128620",0.000235604355786289
"NM_032649",0.000238878745990846
"BC064965",0.000264208518043423
"NM_000078",0.000264208518043423
"NM_178229",0.000267135377463684
"AK131263",0.000307205467480267
"NM_006845",0.00032590267854759
"NM_001007139",0.000363990985660366
"NM_000761",0.0003661127586165
"BC000705",0.000396792329589804
"BC105086",0.000396792329589804
"NM_003122",0.000423281665312598
"NM_170775",0.000426620655131697
"BC110295",0.000447615250104146
"NM_152463",0.000501590896106565
"NM_031966",0.000505556392485781
"NM_005192",0.000509551276480623
"NM_017577",0.000509551276480623
"NM_198492",0.00050989994645269
"NM_001002876",0.000526667373858634
"NM_001012270",0.000563671187941341
"NM_032793",0.000564860539777706
"NM_001882",0.000569315477356638
"NM_006770",0.000581114663156983
"BC075828",0.000623056934444693
"BC025790",0.000650690229474284
"BC035972",0.000750012568744091
"NM_004701",0.000750012568744091
"BC029554",0.000770657783193109
"BC050640",0.000787150016476827
"NM_002387",0.000828372619594785
"NM_018644",0.000961705637827959
"BC006510",0.00101719777662075
"NM_004484",0.00115592370020574
"BC112252",0.00130818100512078
"NM_002466",0.00154067602974764
"BC109075",0.00158810739934876
"NM_001809",0.00158810739934876
"NM_032787",0.00163800215119042
"NM_000125",0.00164389080955346
"NM_205855",0.00167620616333898
"NM_194294",0.00194878305379928
"BC103815",0.00196559107178518
"BC015878",0.0020220125930829
"NM_178135",0.00219210421751222
"NM_003245",0.00219210421751222
"BC041656",0.00219346585014259
"NM_003665",0.00231646842462837
"NM_000783",0.00235347425820879
"BC064424",0.00250035129514961
"NM_004624",0.0025870536683659
"NM_006528",0.00273350552937492
"BC015706",0.00323073550684649
"X75299",0.00336039731590173
"NM_004237",0.00364449174633944
"NM_016593",0.00368812634852723
"AK091783",0.00371745314008918
"AB075869",0.00439827667748771
"NM_152311",0.00440103988257741
"NM_000348",0.00444539879303916
"NM_005989",0.00471034158862079
"NM_021957",0.00475974159717677
"NM_133181",0.0056109787652228
"NM_001034850",0.00583341904942965
"BC005353",0.00624130518762201
"BC010358",0.006368730574091
"AF106911",0.0067778121887122
"NM_004887",0.00682244859826503
"AJ290393",0.00698391088284901
"BC109187",0.00710250147833721
"NM_001056",0.00770152784737326
"NM_003248",0.0077049052364391
"BC003513",0.00786155735212918
"NM_002867",0.00805780540496167
"NM_024526",0.00839284143220109
"NM_002773",0.00872234223083881
"NM_003147",0.00900805036262817
"BC001550",0.00902338971611948
"BC015831",0.00921937741759864
"BC069401",0.00967399666716253
"NM_004988",0.00984468275912143
"NM_001039535",0.00987679146798787
